Date,Time,Open,High,Low,Close,Volume
20201118,00:00:00,1882.52,1884.72,1863.51,1871.24,61
20201119,00:00:00,1871.23,1872.78,1852.57,1862.99,59
20201120,00:00:00,1863.04,1879.62,1861.00,1870.32,48
20201122,00:00:00,1869.94,1872.05,1868.53,1872.00,1
20201123,00:00:00,1871.96,1876.04,1830.78,1835.46,60
20201124,00:00:00,1835.61,1836.19,1799.99,1809.06,74
20201125,00:00:00,1809.01,1817.58,1801.49,1808.19,57
20201126,00:00:00,1808.29,1818.09,1805.63,1809.15,30
20201127,00:00:00,1809.15,1813.78,1774.22,1786.65,43
20201129,00:00:00,1787.21,1789.81,1785.31,1786.62,1
20201130,00:00:00,1786.58,1787.45,1764.24,1778.72,60
20201201,00:00:00,1778.69,1817.18,1776.75,1811.14,57
20201202,00:00:00,1811.10,1832.34,1807.40,1830.48,49
20201203,00:00:00,1830.46,1843.81,1823.65,1839.72,54
20201204,00:00:00,1839.72,1848.09,1828.99,1838.21,55
20201206,00:00:00,1838.53,1838.85,1832.95,1835.34,1
20201207,00:00:00,1835.34,1868.45,1821.81,1863.89,50
20201208,00:00:00,1863.88,1875.17,1860.15,1869.99,42
20201209,00:00:00,1869.99,1870.43,1825.36,1834.26,58
20201210,00:00:00,1834.16,1849.96,1828.53,1836.53,49
20201211,00:00:00,1836.57,1847.65,1823.84,1839.00,42
20201213,00:00:00,1840.70,1841.29,1834.78,1837.90,1
20201214,00:00:00,1837.90,1838.92,1818.27,1827.27,44
20201215,00:00:00,1827.27,1855.24,1825.35,1852.26,40
20201216,00:00:00,1852.29,1865.66,1844.66,1864.39,58
20201217,00:00:00,1864.33,1896.12,1861.90,1883.55,55
20201218,00:00:00,1883.55,1889.54,1877.28,1880.84,46
20201220,00:00:00,1883.82,1884.94,1881.13,1882.97,1
20201221,00:00:00,1882.95,1906.64,1854.95,1878.97,78
20201222,00:00:00,1878.95,1884.24,1858.85,1864.14,56
20201223,00:00:00,1864.18,1878.35,1856.94,1872.53,50
20201224,00:00:00,1872.53,1883.46,1869.38,1879.13,25
20201227,00:00:00,1882.92,1889.21,1882.35,1888.10,1
20201228,00:00:00,1888.09,1900.10,1869.02,1876.61,45
20201229,00:00:00,1876.61,1886.28,1871.60,1878.66,40
20201230,00:00:00,1878.64,1895.29,1875.96,1894.98,33
20201231,00:00:00,1895.08,1900.88,1885.31,1897.77,33
20210103,00:00:00,1905.00,1914.86,1903.29,1913.04,3
20210104,00:00:00,1913.03,1945.49,1909.86,1941.67,57
20210105,00:00:00,1941.52,1953.09,1934.18,1950.11,50
20210106,00:00:00,1950.15,1959.22,1900.76,1923.98,72
20210107,00:00:00,1923.95,1927.52,1906.70,1916.42,57
20210108,00:00:00,1916.39,1916.55,1828.04,1848.51,76
20210110,00:00:00,1849.16,1856.57,1841.37,1844.66,3
20210111,00:00:00,1844.63,1855.35,1816.89,1847.17,64
20210112,00:00:00,1847.13,1863.74,1836.56,1858.74,58
20210113,00:00:00,1858.71,1862.89,1841.81,1848.27,57
20210114,00:00:00,1848.26,1857.39,1828.52,1846.76,54
20210115,00:00:00,1846.81,1856.85,1823.23,1827.48,56
20210117,00:00:00,1828.61,1830.19,1802.95,1810.33,3
20210118,00:00:00,1810.63,1840.67,1810.23,1837.18,47
20210119,00:00:00,1837.17,1845.34,1832.84,1840.79,53
20210120,00:00:00,1840.85,1872.15,1832.27,1869.82,73
20210121,00:00:00,1869.87,1874.91,1858.13,1869.43,65
20210122,00:00:00,1869.45,1869.83,1837.19,1855.20,68
